[main] 2020-08-18 11:37:33.141 INFO  >>> org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zte.dao.ServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[main] 2020-08-18 11:37:33.143 INFO  >>> org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zte.dao.ServiceTest]: ServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[main] 2020-08-18 11:37:33.433 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zte.Application for test class com.zte.dao.ServiceTest
[main] 2020-08-18 11:37:33.445 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[main] 2020-08-18 11:37:33.484 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5939a379, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e1de817, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@52102734, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3541cb24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2177849e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@40cb8df7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@13b13b5d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2892dae4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@355ce81c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29647f75, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3315d2d7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@d6e7bab]
[main] 2020-08-18 11:37:34.139 INFO  >>> com.zte.dao.ServiceTest - Starting ServiceTest on 7TAV70GMCNQG825 with PID 21312 (started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 11:37:34.140 INFO  >>> com.zte.dao.ServiceTest - The following profiles are active: dev
[background-preinit] 2020-08-18 11:37:34.851 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 11:37:38.809 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 11:37:39.772 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
